LAT;LONG;PortName;UN-PortCode
-45.8586;-67.4563;Comodoro Rivadavia;ARCRD
44.1833;28.65;Constanta;ROCND
55.6667;12.5833;Copenhagen;DKCPH
-29.9667;-71.3333;Coquimbo;CLCQQ
39.6167;19.9167;Corfu, Kerkira;GRCFU
39.6;16.5167;Corigliano Calabro;ITCGC
12.84;-85.43;Corinto;NICIO
48.95;-57.9333;Corner Brook;CACBK
11.99;120.21;Coron;PHXCN
18.73;-87.69;Costa Maya, Quintana Roo;MXCMA
20.4784;-86.977;Cozumel;MXCZM
9.35;-79.9;Cristóbal;PACTB
39.0833;17.1333;Crotone;ITCRV
18.3333;-64.8;Cruz Bay, St John;VICZB
-54.235;-36.4672;Cumberland Bay, South Georgia;GBCU2
18.0239;120.4858;Currimao;PHCMO
16.0714;108.2208;Da Nang;VNDAD
14.6953;-17.4505;Dakar;SNDKR
38.8996;121.5577;Dalian;CNDLC
-12.45;130.8333;Darwin;AUDRW
39.0844;26.8869;Dikili;TRDIK
11.6056;43.1411;Djibouti;DJJIB
64.65;-14.2833;Djúpivogur;ISDJU
25.2946;51.5194;Doha;QADOH
18.44;-93.19;Dos Bocas (Paraiso), Tabasco;MXDBS
54.1572;-4.4772;Douglas, Isle of Man;IMDGS
51.1245;1.3168;Dover (London);GBDVR
-17.91;178.58;Dravuni Island;FJDRV
25.25;55.2667;Dubai;AEDXB
25.361;55.026;Dubai Anchorage;AEDX1
53.3481;-6.2483;Dublin;IEDUB
42.66343;18.08088;Dubrovnik;HRDBV
-45.8667;170.5;Dunedin (Port Chalmers);NZDUD
51.0151;2.3496;Dunkerque;FRDKK
52.25;-7.111;Dunmore East (Waterford);IEDNM
57.433;-6.5833;Dunvegan, Isle of Skye, Scotland;GBDVG
-29.8364;30.9422;Durban;ZADUR
41.3274;19.4476;Durres;ALDRZ
53.8874;-166.5409;Dutch Harbour, Unalaska, AK;USDUT
-33.0154;27.904;East London;ZAELS
-25.0725;46.9706;Ehoala;MGEHL
60.4648;7.0682;Eidfjord;NOEDF
29.5561;34.9509;Eilat;ILETH
53.3667;7.2167;Emden;DEEME
31.85;-116.6;Ensenada;MXESE
31.2678;32.3118;Enter Suez Canal at Port Said;EGSZ3
29.9564;32.5768;Enter Suez Canal at Suez;EGSZ1
55.4766;8.4997;Esbjerg;DKEBJ
-33.8694;121.9011;Esperance;AUEPR
-15.147;166.8737;Espiritu Santo;VUSON
31.2678;32.3118;Exit Suez Canal at Port Said;EGSZ4
29.9564;32.5768;Exit Suez Canal at Suez;EGSZ2
50.1506;-5.0751;Falmouth, GB;GBFAL
18.495;-77.648;Falmouth, JM;JMFMH
35.135;33.9483;Famagusta;CYFMA
-3.85;-32.4167;Fernando de Noronha;BRFEN
43.4833;-8.25;Ferrol;ESFRO
52.0147;-4.9803;Fishguard;GBFIS
60.8667;7.1167;Flam;NOFLA
-27.6086;-48.5506;Florianópolis;BRFLN
26.1167;-80.1333;Fort Lauderdale;USFLL
56.8167;-5.1167;Fort William;GBFWM
14.6011;-61.0603;Fort-de-France;MQFDF
-3.7184;-38.5429;Fortaleza;BRFOR
52.61;-9.11;Foynes;IEFOV
55.5672;9.7126;Fredericia;DKFRC
17.723;-64.8925;Frederiksted, St. Croix;VIFRD
26.5384;-78.6325;Freeport, Grand Bahama;BSFPO
-32.05;115.7333;Fremantle;AUFRE
-8.5166;179.216;Funafuti;TVFUN
32.6333;-16.9;Funchal, Madeira;PTFNC
32.6333;-16.9;Funchal, Madeira, Anchorage;ATFN1
33.8833;10.1167;Gabès;TNGAE
41.12;13.35;Gaeta (anchorage);ITGAE
6.0397;80.2275;Galle;LKGAL
29.2953;-94.8079;Galveston;USGLS
33.5;126.5167;Gang Jeong Port, Jeju;KRGJE
48.8333;-64.4833;Gaspe;CAGPE
9.161;-79.8735;Gatun;PAGTN
54.3289;18.625;Gdansk;PLGDN
54.5;18.55;Gdynia (Gdansk);PLGDY
62.0962;7.2115;Geiranger;NOGNR
